sentence	sentence_id	locale	reason
不思議な感銘と、不意を疲れる脅威を覚える時、感情移入せずにはいられなかった。	bcf3ac8c938c3ca4d721e009a38f07706845ea189ef21631907dd65e462ee9b2	ja	grammar-or-spelling
日本の女性を含め、彼女たちは、軍需物資なみに扱われた。	8246b65f55c971390ad0d0c8ad8f4bb6f3cd88d6407fb6a524da963f56e88ff5	ja	grammar-or-spelling
不思議な感銘と、不意を疲れる脅威を覚える時、感情移入せずにはいられなかった。	bcf3ac8c938c3ca4d721e009a38f07706845ea189ef21631907dd65e462ee9b2	ja	grammar-or-spelling
不思議な感銘と、不意を疲れる脅威を覚える時、感情移入せずにはいられなかった。	bcf3ac8c938c3ca4d721e009a38f07706845ea189ef21631907dd65e462ee9b2	ja	grammar-or-spelling
日本の女性を含め、彼女たちは、軍需物資なみに扱われた。	8246b65f55c971390ad0d0c8ad8f4bb6f3cd88d6407fb6a524da963f56e88ff5	ja	offensive-language
不思議な感銘と、不意を疲れる脅威を覚える時、感情移入せずにはいられなかった。	bcf3ac8c938c3ca4d721e009a38f07706845ea189ef21631907dd65e462ee9b2	ja	grammar-or-spelling
不思議な感銘と、不意を疲れる脅威を覚える時、感情移入せずにはいられなかった。	bcf3ac8c938c3ca4d721e009a38f07706845ea189ef21631907dd65e462ee9b2	ja	grammar-or-spelling
少年時代はロシア帝国チェルニーヒウ県プルィルークィ郡トロスチャヌィーツャ村で過ごした	5a53d6b979a3468eb31a03d71e3babcc8ba64827574ed86efc6f8df049cbe525	ja	difficult-pronounce
少年時代はロシア帝国チェルニーヒウ県プルィルークィ郡トロスチャヌィーツャ村で過ごした	5a53d6b979a3468eb31a03d71e3babcc8ba64827574ed86efc6f8df049cbe525	ja	difficult-pronounce
遺灰のほとんどはスウェーデン西海岸のブーヒュースレーン地方の小島にある漁村フヤルバッカ周辺の海に散骨された	8933ce8814de86273e645c712a46025ae2b4d2ace7d85382307314832e143a32	ja	difficult-pronounce
モーイーデーン岩壁地域の上部はプラーサートプラウィハーン寺院遺跡へ繋がるタイ側参道に続いている	f2e6400c6ce7c215b11d13bbc58265e8b870eefa2cf50b13ffa24824a862f7d1	ja	difficult-pronounce
事故の直接原因となった、圧力隔壁のずさんな修理、そのずさんさを見落とした、チェックシステムなどがそうだ。	1843008d6fe38a00fa5e1866a2c8f185ca0d74075f91fc9599297aff76fcf231	ja	???????????
若き日の反逆ゆえに宇宙の中央を追放されて惑星地球にやってきた主人公ベルゼバブが宇宙船カルナークのなかで孫に語る壮大な物語	fca280fd753e5f782b7a46bf32db29469500a73c3f566073e27596330306cbae	ja	difficult-pronounce
このときに浮遊大陸プルヴァマにある中立国ビュエルバがある情報筋からバッシュ将軍の処刑と前王女アーシェの自害を発表	f6c3336ebca7a38eb2754fec10af24d174324125f2b130b6ae0f2f3664fbfb33	ja	difficult-pronounce
ディオニューソスの寵愛を受けるオイネウス王と妃アルタイアーの間にカリュドーンの王女として生を受けた	36f56f5065a122c685f6ffe3554244bc21fd742df12cdeb0965b9fee6da9d264	ja	difficult-pronounce
モーイーデーン岩壁地域の上部はプラーサートプラウィハーン寺院遺跡へ繋がるタイ側参道に続いている	f2e6400c6ce7c215b11d13bbc58265e8b870eefa2cf50b13ffa24824a862f7d1	ja	difficult-pronounce
今日も勝ってやるぞという気合が、徐々に入っていった。	3dc1cdb296f127138c3d1732c035acaffedcb30f7139edd780538481f87132bd	ja	grammar-or-spelling
今日も勝ってやるぞという気合が、徐々に入っていった。	3dc1cdb296f127138c3d1732c035acaffedcb30f7139edd780538481f87132bd	ja	difficult-pronunciation
夏は暑いので、スーツを着たくないです。	55594082401b3d58e41dbf5350115e2d5c2bd38f882f8e1833b5e20a394a584a	ja	offensive-language
夏は暑いので、スーツを着たくないです。	55594082401b3d58e41dbf5350115e2d5c2bd38f882f8e1833b5e20a394a584a	ja	grammar-or-spelling
夏は暑いので、スーツを着たくないです。	55594082401b3d58e41dbf5350115e2d5c2bd38f882f8e1833b5e20a394a584a	ja	different-language
わたしは左手ではしを持ちます。	25ea357a30739b3ea0419e79d0075b28812dc843449f001d7ca12b173f200e5e	ja	offensive-language
わたしは左手ではしを持ちます。	25ea357a30739b3ea0419e79d0075b28812dc843449f001d7ca12b173f200e5e	ja	grammar-or-spelling
わたしは左手ではしを持ちます。	25ea357a30739b3ea0419e79d0075b28812dc843449f001d7ca12b173f200e5e	ja	different-language
わたしは左手ではしを持ちます。	25ea357a30739b3ea0419e79d0075b28812dc843449f001d7ca12b173f200e5e	ja	difficult-pronounce
日本語にはかたかなのことばがたくさんあります。	8134d79442a7af912129e0c29e9ed79e0142eea6d4d98744c2e02842496ab09b	ja	offensive-language
日本語にはかたかなのことばがたくさんあります。	8134d79442a7af912129e0c29e9ed79e0142eea6d4d98744c2e02842496ab09b	ja	grammar-or-spelling
日本語にはかたかなのことばがたくさんあります。	8134d79442a7af912129e0c29e9ed79e0142eea6d4d98744c2e02842496ab09b	ja	different-language
冷蔵庫のお茶持ってきてよ。	78f5e7ba608d1e5126c724884ecbcd0a36a7dfac3aab887f8a0b39876deac7b7	ja	difficult-pronounce
冷蔵庫のお茶持ってきてよ。	78f5e7ba608d1e5126c724884ecbcd0a36a7dfac3aab887f8a0b39876deac7b7	ja	different-language
冷蔵庫のお茶持ってきてよ。	78f5e7ba608d1e5126c724884ecbcd0a36a7dfac3aab887f8a0b39876deac7b7	ja	grammar-or-spelling
冷蔵庫のお茶持ってきてよ。	78f5e7ba608d1e5126c724884ecbcd0a36a7dfac3aab887f8a0b39876deac7b7	ja	offensive-language
今晩は長い時間勉強しようと思っています。	e68150a61ac0f1cb5a3e7ef5d0ba4ac471c3c03727c6882215c7920a9e17dad2	ja	grammar-or-spelling
山田さんは、お父さんがよく働きます。	c949e47a7fa207651f735384563af80de6bac2b747964a6c099c22ad42ed8e07	ja	grammar-or-spelling
きょうイさんと映画を見に行きます。	4af28e7ee2f5d97e631d1ab2b061fb33887aa7409522559fa785ff8d8edc521f	ja	?????????????
女性とは逆で、何とか常識を破って、めだってやろうと、意気込む人がほとんどだ。	52ddd9a3a6085251316b23f0ff8b08a8bd85787fe30ca774be1cf9715bb84a91	ja	offensive-language
女性とは逆で、何とか常識を破って、めだってやろうと、意気込む人がほとんどだ。	52ddd9a3a6085251316b23f0ff8b08a8bd85787fe30ca774be1cf9715bb84a91	ja	??????????
歴史に名の残す偉業となった。	1d9d5ca62e23d0c93b94c3c16dd6edc30a6e9cbf2b69072aefa6df3ca268800a	ja	grammar-or-spelling
彼女は私たちに、奇妙な女性アデルは黒髪だったと言っていた。	024da9552dde8bdb4c96c33fdd01a0e3896b784d759e3761f2c968ce00fbccc9	ja	grammar-or-spelling
Mark S. Sisk。	015b6efae5969f8a90b5b6ae14558b987608f7bca82cd3c5968404a9fd498263	ja	different-language
アンナレコードはグウェンゴーディ、アンナゴーディ、ロｋルビリーデイヴィスによって運営されていた。	03e3134944d92503828939c9ea42538c18bb2dd4f65803e5c896b2ff3efbd050	ja	grammar-or-spelling
彼女はその後、ニュージーランドに戻っスポーツ医療でのキャリアを続けました。	03b4998460358e608666fe06f2016608817134423a0c8ec1d5e06a592a92c42a	ja	grammar-or-spelling
またく食指が動かない。	045e545d217686693c29c75a36941eef1721e69f5f8cd7ddb02af5b4e043090e	ja	grammar-or-spelling
お客様の名義でで掲載される予定はありません。	046e5a686b50ec63d92e2d49239236ea4500e7214c253aa9df15bec6a22af112	ja	grammar-or-spelling
内部には、直径と高さが高いの中央の円形建築がありました。	04b75672eb623ec0fcc8c059a3e6ef56583f84681b7c418abdda429326f62cc6	ja	grammar-or-spelling
午前7時のくらいの映画のスケジュールを表示（アニメーション映画）。	04d4579955c4ca10b01b02432126244068f29dcc205624d522add5c24204c9bf	ja	grammar-or-spelling
アブロ・ランカスター氏だけで、約5500万発の焼夷弾がドイツに投下された。	048207f9128e959b6475fe72d8b802ea20496b812a1691d93cbd9daf9bae0619	ja	grammar-or-spelling
彼女は歌が上手で有名が、リュートと他の楽器をすることもできました。	0566fe5068d9224c1c1f694193486d4e9427df47be9b1a69f29772f6a4e09428	ja	grammar-or-spelling
そこはまた毎年、国際際ニューローズ・コンテストを主催している。	0568dde21cff57ba7218211222e5f281931d5d1333266b1a6d798342ee56ee85	ja	grammar-or-spelling
彼女はその後、ニュージーランドに戻っスポーツ医療でのキャリアを続けました。	03b4998460358e608666fe06f2016608817134423a0c8ec1d5e06a592a92c42a	ja	grammar-or-spelling
ゴーヤ・フーズは以前、そこ本社を置いていた。	0592932afddd94fb5b3f72a20bf40db860c4f94926a88ba90c8bac22f9dde04f	ja	grammar-or-spelling
最初に演奏されたのはジョンデンバーのThank God I』m a Counry Boyであった。	05dc687c70d8adde018f6305268efda7aaf8e4088986ba714b53eb307719842a	ja	grammar-or-spelling
最初に演奏されたのはジョンデンバーのThank God I』m a Counry Boyであった。	05dc687c70d8adde018f6305268efda7aaf8e4088986ba714b53eb307719842a	ja	difficult-pronounce
そう書かれていたも「イ」の音で発音することはなかった。	05dc26b4769dd52f8ec481b252eedc0f705768047cb7e6431db522da7becb745	ja	grammar-or-spelling
ジェッキス（Gex）は奇妙なテレビの世界に隠されたリモコンを見つけるよおうに管理しました。	058237c5e02653be8ba928e36785d55a532a8a28d11f556c6a2828d18c39bf6d	ja	difficult-pronounce
ジェッキス（Gex）は奇妙なテレビの世界に隠されたリモコンを見つけるよおうに管理しました。	058237c5e02653be8ba928e36785d55a532a8a28d11f556c6a2828d18c39bf6d	ja	grammar-or-spelling
実際の戦闘には関与していませんでしたが、彼はプレイヤーを分離しみました。	057590aae997cd67bb2b7939790da7a320745497968f1ac7ac2b592e8faa20a6	ja	grammar-or-spelling
それは、池のそばなど、明るく湿った環境で繁殖栄します。	056dbf0e0e90d4ec5747bf6b4048775c66f3f7c84942caa938345df631bccbd8	ja	grammar-or-spelling
コドノー（Codnor）には2つのサッカーチームもあります。	05f0620fd3c880000afd6a7b806776cbadd4687ed55fdac289a3d7fba2160903	ja	difficult-pronounce
ユンガブッラの地形は、千年間の火山活動によって形成さえた。	05cc7efffcc4961eb55ab0e4df70bdc12d72279c9764cc96dba55246618ebbe4	ja	grammar-or-spelling
その後の悲惨な日において、モーリスはフレデリックとって不快感を覚える対象になりました。	065615f9ad7d2c0a3ae14baaa2366b776c52ea8eecca757fed51c9ec3578d7e7	ja	grammar-or-spelling
彼女はその後、ニュージーランドに戻っスポーツ医療でのキャリアを続けました。	03b4998460358e608666fe06f2016608817134423a0c8ec1d5e06a592a92c42a	ja	grammar-or-spelling
またく食指が動かない。	045e545d217686693c29c75a36941eef1721e69f5f8cd7ddb02af5b4e043090e	ja	grammar-or-spelling
彼は天武天皇の息子・舎人王子の七男だった。	0653f37761dcca45508cd70be9a51851742792c45b063d345d000c7e1f188db3	ja	????????????????????????????????????????????????
アーティストにとって大きな意味を持つする大切な絵。	06b224c4ca22e6fd79d9fc4344f11efb50401c860927c4bc170fa60a7def5cd7	ja	grammar-or-spelling
世界のかかる方向においての生産様式即ち物の具体概念を、行為的直観的に把握し行くのが実験科学である。	30cc0911a7036fbc9882f923d55de4d67d8a4e31c40a8c00d952e716f5046cac	ja	grammar-or-spelling
どこまでも行為的直観的に実在を把握し行くことでなければならない。	29925cde43491b31eb7a101cb81d5a0bebe77e10a4c5427bbc1101f6707d5320	ja	grammar-or-spelling
怖いくらいに賢くて末恐ろしい	1cef1b6f6003303607721d56932c17d7be1e33169eb2349ab359d8ff01006375	ja	cannot record
cause its jump to 404
物理作用とか、生物的作用とかいうものでも、しか考えることができる。	287599d2403c458094febf752bcb32e0ced61c6e3834c2b506b4965e5eb82c69	ja	grammar-or-spelling
それはどこまでも超越的なるものが	e0f8f58ea4eaf3a9894ddb91c78f223db96d1b3954c2e9c51c72345ce44556a1	ja	offensive-language
またそれを合目的的世界として全体的一の発展と考えることもできない。	b540e60254f5287b5406550f49f15f83e81878e280b22132ac1e1952a04f56e1	ja	grammar-or-spelling
ポイエシス的に実在をベグライフェンすることである。	0c84a16521668ad495395eb7ebf002125b8ab74aa883ea9504de15ba2a3b5859	ja	different-language
個物がどこまでも超越的なるもの即ち絶対に対し、絶対矛盾的自己同一を媒介とするということである。	f1849e8854b7c4e4e11b48e43599989e873a2bfb6b947e6bc3b6c27702ea285a	ja	grammar-or-spelling
我々はかかる世界の個物として意識的に世界を映すことによって形成的であり、	09dde5dc2e3bf303b9257bd8ea517e260ab09fc29e85a19565214d3e34b466bd	ja	grammar-or-spelling
私の過去と未来とが現在において結合し、作られたものから作るものへ、現在から現在へという矛盾的自己同一は、我々の自己意識によっても分かるであろう。	3f99925d9034ea0d027a30a0de21e355a8acf22135576d2e5db03f5f31de770d	ja	??????????????????????????
本能というのも、生物と世界との関係から理解せられなければならない、行動心理学においてのように。	5cd8b981a7769a0ee3a522f6890945b51973a18b843041127e1e641c00cccaf5	ja	grammar-or-spelling
過去と未来とが相互否定的に現在において結合し、世界が矛盾的自己同一的に一つの現在として自己自身を形成し行く世界というのは、	48c7380a69f20cb5ed2d7a9353de6c22f952e4c26c531f402899588eba6a0a4c	ja	??????????????????
しかしてまた新に作り行くのである。	8d101d4c5b43aa6b71f4b657b8d6ba2a331c611020bde2e9806a8ebda14e7ba3	ja	difficult-pronounce
「世界」という言葉はもと自然的対象界でなく人間の世界を意味した。	7da69f9a4fbaea05648651dbf1d4a26cec336d6f91dbb197e263a6a2941f7ac1	ja	difficult-pronounce
自己というものが超越的に外にあるのでなく、意識する所そこに自己があるのであり、その時その時の意識が我々の全自己たるを主張し要求する。	4e8b9bfb81f219e2c3b2c0615ab4b6a45ff184f02bbe797df7d4030cf4e5db5d	ja	???????????????????????
論理を否定するとも考えられるでもあろう。	7e169cff9dfb32ecb6bf2b313077ada6184115666eb3a0cc812ba6faa19157a9	ja	difficult-pronounce
我々が考えるという立場も、歴史的社会的立場に制約せられていなければならない。	6d1abbf60ccbee1e50418167997a9603037a3ebd84efbd801152e8d307c190c1	ja	grammar-or-spelling
私のいわゆる制作によって行為的直観的に物の生産様式を把握するということから発展し来ったものでなければならない。	990d4ec054aece987a7f9ccc9d94ad123b407a018fa4e9292594520aca202b9a	ja	difficult-pronounce
しかして矛盾的自己同一としての人間の世界に至っては、それは単に本能的でなく、表現的形成的でなければならない。	c1fc3ac426d6d919a5de4c5de88b62e01ff2e65fc4cebc9d9e25b26f80f19cc8	ja	grammar-or-spelling
いわば過去から未来への間に意識的切断面を有つ世界である。	a12e90011c6711bfb35d99cdeac82e213264afb21c7bdb1550aeb7772d9855ac	ja	grammar-or-spelling
世界が矛盾的自己同一として創造的であり、生きた世界であるかぎり、かかるアンティテージスが成立せなければならない。	8f7de57f4fcac0f3f18178e2385a66f85d8ded869622cf3a9c9abef37e869b31	ja	grammar-or-spelling
ポイエシス的に実在を把握し行くという行為的直観の過程たるを脱せない。	f4f962a03c6f839ae1fbf721d6fd1874e5494ac11706ab6afebe2daf0e4f5e15	ja	grammar-or-spelling
我々がどこまでも個物的であり、知識が客観的であればあるほど、しかいうことができる。	f3d93d40673b5974d8f8db6ac0dbf3c6bca76ffe4f1357c59e8a3e257f391d5e	ja	grammar-or-spelling
生産せられたものが単に過去に入り去るのでなくまた生産するものを生産するのである、そこに真の生産というものがあるのである。	c398d90960dabcfeefd2add5de7c26dac38df354fa16b3dbb8d52e6a38e43587	ja	grammar-or-spelling
絶対矛盾的自己同一として作られたものより作るものへという世界は、過去と未来とが相互否定的に現在において結合する世界であり、	f41ce62642f7f38826b185df9003503d1c4cb659b77aee4d035461bb72206a3a	ja	??
作られたものから作るものへとして、矛盾的自己同一に徹することによって、歴史的世界は生物の世界から人間の世界へと発展する。	be10f50b8650f8d65dd8c4c497dc8eddf27e031da11f9b03729128c8cba383c2	ja	??
歴史的世界において主体と環境とがどこまでも相互否定的に相対立するというのは、時の現在において過去と未来とが相互否定的に対立する如く対立するのである。	0ce953b2f2877247d6a6a57caa435e2827b237997bb3002579eb10c2ee6c7d19	ja	??
多くの世界がそれにおいてある世界即ち絶対的環境、もしくは絶対的場所、もしくは絶対的一般者ともいうべき世界が考えられねばならぬ。	2086e4e96e6b4718489189c3372572d98d054a6cfcba1dd8758c452b21cab4a5	ja	too long text
もと単に、知ってい知っていないのは事物の部分であって、まだ知っていない部分について知り、	899e30d6057a9d19c4adb95f4ba8a676a720fc61d1120ac71d6ed56a503be04b	ja	grammar-or-spelling
しかして我々がかく自己自身の根底において自己矛盾に撞着するというも、	b7f19131b39254a1b6369220fdb05f84c13d2585d3012b3a87e3ea3b1779b28f	ja	difficult-pronounce
然るにモナド的に自己が世界を映すことが逆に世界のペルスペクティーフの一観点であるという人間に至っては、	b816c2e9dd052e63f30fb4248fb982b686aa7d4df6615af6db767190fb4546a8	ja	difficult-pronounce
実在を歴史的生産様式的に即ち具体概念的に把握するのである。	bb7287fd2230c3e24d23a1d3cf32dbc05511bf7a39c1dd25b110f6e218507e40	ja	difficult-pronounce
しかるにそれが現実から出立するというとき、現実というものが前提されるといわれるであろう。	bad1dcd80ece185d67a5b6d23ab63c51739ab121d3e1037ba5bc508d9b9967e1	ja	difficult-pronounce
個物的多が自己否定的に単に点集合的に考えられる時、それが物理的世界である。	c2f3ee7a887008beb1a0017557bf2260e88be8fa54fbf31e3a84e0c438c03637	ja	difficult-pronounce
右の如く絶対過去として我々の個人的自己の根底に迫り来るものに対して、	8c97d6460e56c30c11812fb408dd056470fcedbb29b851754183b2f2ad07dbe0	ja	difficult-pronunciation
右の如く絶対過去として我々の個人的自己の根底に迫り来るものに対して、	8c97d6460e56c30c11812fb408dd056470fcedbb29b851754183b2f2ad07dbe0	ja	11SVgNbM
ここにおいて個物は既に機械的でもなく、単に合目的的でもなく、形成的でなければならない。	bc029bf83c9a2bb3abd083c53b07c0de9d6f2fce468f98121bb8ddda07217294	ja	grammar-or-spelling
多が一の多、一が多の一、動即静、静即動として、	7e1511de5f586ecef6f5a9386771bd4a6462ccce7a719812ac6a5536eec2ac2b	ja	grammar-or-spelling
真に矛盾的自己同一の世界においては、主体が真に環境に没入し自己自身を否定することが真に自己が生きることであり、	d903557b14b3e0e1d93a90e03ea2715652cba6702a36b25b03095b6939ceaeda	ja	grammar-or-spelling
真に矛盾的自己同一の世界においては、主体が真に環境に没入し自己自身を否定することが真に自己が生きることであり、	d903557b14b3e0e1d93a90e03ea2715652cba6702a36b25b03095b6939ceaeda	ja	https://www.baidu.com
概念というのは、ただ抽象によって成立するのではない。	f092c8d4cf9d3e73053a1ec27547bad7c29c5418399aba92e90fba446a6462f6	ja	difficult-pronunciation
アラスカ州の最大都市はアンカレッジである	da4daef11dc3a579549a70468f5e2b659370241ace68ec58b430d9e1a5bb74ca	ja	grammar-or-spelling
アラスカ州の最大都市はアンカレッジである	da4daef11dc3a579549a70468f5e2b659370241ace68ec58b430d9e1a5bb74ca	ja	different-language
アラスカ州の最大都市はアンカレッジである	da4daef11dc3a579549a70468f5e2b659370241ace68ec58b430d9e1a5bb74ca	ja	difficult-pronunciation
作られたものから作るものへと、社会は弁証法的に進展し行くのである。	d6dd22016fac83569aebefb788b32ff9bb262ce3f8a3e318f5966d2701a90e5a	ja	difficult-pronounce
倫理的実体としての国家と宗教は矛盾するものではない。	0e233b2c55c011716ab61d94168ddbf3dc24f1260296bcdda7363dcc0795109e	ja	difficult-pronounce
物と物とが表現的作用的に相対し相働くのである。	e9b1136030f8b2ee3bb0d8660a8fe41b4961351f904883c2e76660a3366699c2	ja	difficult-pronounce
世界を機械的にあるいは合目的的に考えても、かかることがあることはできない。	e589378f4d03e3ab267a29c4713822d8217e02a31fd6e840575e902b12d92d40	ja	grammar-or-spelling
自己自身を形成する世界の一角としてしかあるということでなければならない。	06925038d1688e5c235a7054ccbaad422abbabe5fe11f19bb3ae63d388e24e54	ja	grammar-or-spelling
技術というと直ちに物質的生産の技術を考えることは、世界というと直ちに自然界を考えることと同様、	e43a1fa33fb210f29f46aaa39319e02b628f7efc881a6cde44bbab162eadd876	ja	difficult-pronounce
単に質料的のものでもなければ、媒介的のものでもない。	ae8d6882da92c07868502db9e972e1d4cb3829ea517b39e5bd0f49b3525d8308	ja	difficult-pronounce
真に矛盾的自己同一的な歴史的社会的世界においては、いつも過去と未来とが自己矛盾的に現在において同時存在的である。	5c09351a8d5ff764ddca9904e75d91ae840b9b1284ef9dc0afd80aee9c5f55df	ja	????
むしろ我々がそこにある世界は何よりも世の中あるいは世間である。	e432da4d2b1cc1c3a2da7f61436aed4bc8f3825c7fb2706b5ac794a4523ea367	ja	different-language
我々は個物的なればなるほど、現実から現実へと動き行きながら、	fce948ca49969e88fe7c788a70127659b6d44655d4ad01c4c970279d098ae4d1	ja	different-language
単に抽象論理の立場から行為的直観の現実を否定することはできない。	e53ffef3ad7bad54305558879f7602e1800b132c8252ee4562a3295b199e7dc1	ja	grammar-or-spelling
単に抽象論理の立場から行為的直観の現実を否定することはできない。	e53ffef3ad7bad54305558879f7602e1800b132c8252ee4562a3295b199e7dc1	ja	difficult-pronunciation
表出即表現から始まる。	f9c34d17fd1bdf1555fc67a1e1b21c813807d1bffb0d76ae9cd4f1c694ce0851	ja	grammar-or-spelling
表出即表現から始まる。	f9c34d17fd1bdf1555fc67a1e1b21c813807d1bffb0d76ae9cd4f1c694ce0851	ja	Suspected misspelling of "?????"
ポイエシス的に実在をベグライフェンすることである。	0c84a16521668ad495395eb7ebf002125b8ab74aa883ea9504de15ba2a3b5859	ja	difficult-pronounce
現実の世界は多の一として決定せられた形を有った世界でなければならない。	087971e5b8bfc1aeede8fedc9f6425fa7f48ad543557a56f3b4c592b977406f2	ja	difficult-pronounce
